time,value,date
14:44:01,86,2021-10-08 14:44:01
14:44:06,87,2021-10-08 14:44:06
14:44:11,86,2021-10-08 14:44:11
14:44:16,87,2021-10-08 14:44:16
14:44:21,85,2021-10-08 14:44:21
14:44:26,89,2021-10-08 14:44:26
14:44:31,88,2021-10-08 14:44:31
14:44:36,91,2021-10-08 14:44:36
14:44:41,88,2021-10-08 14:44:41
14:44:46,87,2021-10-08 14:44:46
14:45:01,87,2021-10-08 14:45:01
14:45:06,88,2021-10-08 14:45:06
14:45:11,95,2021-10-08 14:45:11
14:45:16,97,2021-10-08 14:45:16
14:45:21,98,2021-10-08 14:45:21
14:45:26,96,2021-10-08 14:45:26
14:45:41,95,2021-10-08 14:45:41
14:45:46,96,2021-10-08 14:45:46
14:45:51,93,2021-10-08 14:45:51
14:46:06,92,2021-10-08 14:46:06
14:46:11,93,2021-10-08 14:46:11
14:46:16,95,2021-10-08 14:46:16
14:46:21,96,2021-10-08 14:46:21
14:46:26,95,2021-10-08 14:46:26
14:46:41,96,2021-10-08 14:46:41
14:46:46,98,2021-10-08 14:46:46
14:46:51,97,2021-10-08 14:46:51
14:46:56,95,2021-10-08 14:46:56
14:47:01,93,2021-10-08 14:47:01
14:47:11,91,2021-10-08 14:47:11
14:47:16,86,2021-10-08 14:47:16
14:47:21,87,2021-10-08 14:47:21
14:47:26,85,2021-10-08 14:47:26
14:47:36,87,2021-10-08 14:47:36
14:47:41,87,2021-10-08 14:47:41
14:47:46,88,2021-10-08 14:47:46
14:47:51,89,2021-10-08 14:47:51
14:47:56,90,2021-10-08 14:47:56
14:48:01,89,2021-10-08 14:48:01
14:48:06,87,2021-10-08 14:48:06
14:48:11,85,2021-10-08 14:48:11
14:48:26,88,2021-10-08 14:48:26
14:48:31,89,2021-10-08 14:48:31
14:48:41,86,2021-10-08 14:48:41
14:48:46,87,2021-10-08 14:48:46
14:48:51,88,2021-10-08 14:48:51
14:48:56,90,2021-10-08 14:48:56
14:49:06,87,2021-10-08 14:49:06
14:49:16,87,2021-10-08 14:49:16
14:49:21,89,2021-10-08 14:49:21
14:49:26,90,2021-10-08 14:49:26
14:49:31,91,2021-10-08 14:49:31
14:49:36,91,2021-10-08 14:49:36
14:49:41,90,2021-10-08 14:49:41
14:49:56,91,2021-10-08 14:49:56
14:50:03,91,2021-10-08 14:50:03
14:50:08,92,2021-10-08 14:50:08
14:50:23,92,2021-10-08 14:50:23
14:50:28,94,2021-10-08 14:50:28
14:50:33,94,2021-10-08 14:50:33
14:50:38,93,2021-10-08 14:50:38
14:50:43,93,2021-10-08 14:50:43
14:50:48,92,2021-10-08 14:50:48
14:50:53,91,2021-10-08 14:50:53
14:50:58,93,2021-10-08 14:50:58
14:51:03,93,2021-10-08 14:51:03
14:51:08,94,2021-10-08 14:51:08
14:51:13,95,2021-10-08 14:51:13
14:51:18,95,2021-10-08 14:51:18
14:51:23,94,2021-10-08 14:51:23
14:51:28,93,2021-10-08 14:51:28
14:51:33,93,2021-10-08 14:51:33
14:51:38,94,2021-10-08 14:51:38
14:51:48,93,2021-10-08 14:51:48
14:51:53,90,2021-10-08 14:51:53
14:52:03,94,2021-10-08 14:52:03
14:52:08,94,2021-10-08 14:52:08
14:52:13,92,2021-10-08 14:52:13
14:52:18,91,2021-10-08 14:52:18
14:52:23,93,2021-10-08 14:52:23
14:52:28,94,2021-10-08 14:52:28
14:52:33,93,2021-10-08 14:52:33
14:52:38,90,2021-10-08 14:52:38
14:52:43,90,2021-10-08 14:52:43
14:52:48,89,2021-10-08 14:52:48
14:52:58,89,2021-10-08 14:52:58
14:53:03,86,2021-10-08 14:53:03
14:53:08,87,2021-10-08 14:53:08
14:53:13,91,2021-10-08 14:53:13
14:53:18,93,2021-10-08 14:53:18
14:53:23,94,2021-10-08 14:53:23
14:53:33,95,2021-10-08 14:53:33
14:53:43,94,2021-10-08 14:53:43
14:53:48,92,2021-10-08 14:53:48
14:53:58,94,2021-10-08 14:53:58
14:54:03,95,2021-10-08 14:54:03
14:54:08,97,2021-10-08 14:54:08
14:54:18,99,2021-10-08 14:54:18
14:54:23,100,2021-10-08 14:54:23
14:54:28,101,2021-10-08 14:54:28
14:54:33,104,2021-10-08 14:54:33
14:54:38,105,2021-10-08 14:54:38
14:54:53,105,2021-10-08 14:54:53
14:54:58,103,2021-10-08 14:54:58
14:55:08,100,2021-10-08 14:55:08
14:55:13,99,2021-10-08 14:55:13
14:55:18,100,2021-10-08 14:55:18
14:55:23,102,2021-10-08 14:55:23
14:55:33,104,2021-10-08 14:55:33
14:55:38,102,2021-10-08 14:55:38
14:55:43,100,2021-10-08 14:55:43
14:55:48,100,2021-10-08 14:55:48
14:55:53,99,2021-10-08 14:55:53
14:55:58,99,2021-10-08 14:55:58
14:56:03,98,2021-10-08 14:56:03
14:56:13,99,2021-10-08 14:56:13
14:56:23,98,2021-10-08 14:56:23
14:56:28,101,2021-10-08 14:56:28
14:56:33,103,2021-10-08 14:56:33
14:56:38,104,2021-10-08 14:56:38
14:56:43,101,2021-10-08 14:56:43
14:56:48,98,2021-10-08 14:56:48
14:56:53,97,2021-10-08 14:56:53
14:56:58,96,2021-10-08 14:56:58
14:57:08,95,2021-10-08 14:57:08
14:57:13,96,2021-10-08 14:57:13
14:57:18,96,2021-10-08 14:57:18
14:57:23,96,2021-10-08 14:57:23
14:57:33,95,2021-10-08 14:57:33
14:57:38,97,2021-10-08 14:57:38
14:57:53,97,2021-10-08 14:57:53
14:57:58,98,2021-10-08 14:57:58
14:58:03,97,2021-10-08 14:58:03
14:58:13,96,2021-10-08 14:58:13
14:58:28,98,2021-10-08 14:58:28
14:58:33,99,2021-10-08 14:58:33
14:58:38,99,2021-10-08 14:58:38
14:58:43,98,2021-10-08 14:58:43
14:58:48,97,2021-10-08 14:58:48
14:58:53,98,2021-10-08 14:58:53
14:58:58,99,2021-10-08 14:58:58
14:59:03,97,2021-10-08 14:59:03
14:59:08,94,2021-10-08 14:59:08
14:59:18,93,2021-10-08 14:59:18
14:59:23,95,2021-10-08 14:59:23
14:59:28,93,2021-10-08 14:59:28
14:59:43,94,2021-10-08 14:59:43
14:59:58,93,2021-10-08 14:59:58
15:00:03,91,2021-10-08 15:00:03
15:00:08,92,2021-10-08 15:00:08
15:00:13,96,2021-10-08 15:00:13
15:00:18,95,2021-10-08 15:00:18
15:00:23,97,2021-10-08 15:00:23
15:00:38,97,2021-10-08 15:00:38
15:00:43,96,2021-10-08 15:00:43
15:00:48,97,2021-10-08 15:00:48
15:00:53,96,2021-10-08 15:00:53
15:00:58,97,2021-10-08 15:00:58
15:01:13,97,2021-10-08 15:01:13
15:01:23,96,2021-10-08 15:01:23
15:01:33,94,2021-10-08 15:01:33
15:01:38,93,2021-10-08 15:01:38
15:01:43,91,2021-10-08 15:01:43
15:01:48,91,2021-10-08 15:01:48
15:01:53,90,2021-10-08 15:01:53
15:02:03,91,2021-10-08 15:02:03
15:02:08,91,2021-10-08 15:02:08
15:02:18,89,2021-10-08 15:02:18
15:02:23,90,2021-10-08 15:02:23
15:02:28,88,2021-10-08 15:02:28
15:02:33,92,2021-10-08 15:02:33
15:02:43,97,2021-10-08 15:02:43
15:02:48,96,2021-10-08 15:02:48
15:02:53,95,2021-10-08 15:02:53
15:03:03,92,2021-10-08 15:03:03
15:03:13,90,2021-10-08 15:03:13
15:03:18,92,2021-10-08 15:03:18
15:03:23,94,2021-10-08 15:03:23
15:03:28,94,2021-10-08 15:03:28
15:03:33,95,2021-10-08 15:03:33
15:03:38,93,2021-10-08 15:03:38
15:03:48,92,2021-10-08 15:03:48
15:03:53,93,2021-10-08 15:03:53
15:03:58,92,2021-10-08 15:03:58
15:04:03,94,2021-10-08 15:04:03
15:04:08,95,2021-10-08 15:04:08
15:04:13,96,2021-10-08 15:04:13
15:04:23,97,2021-10-08 15:04:23
15:04:33,96,2021-10-08 15:04:33
15:04:38,95,2021-10-08 15:04:38
15:04:43,96,2021-10-08 15:04:43
15:04:53,97,2021-10-08 15:04:53
15:05:03,99,2021-10-08 15:05:03
15:05:08,100,2021-10-08 15:05:08
15:05:13,101,2021-10-08 15:05:13
15:05:23,100,2021-10-08 15:05:23
15:05:30,99,2021-10-08 15:05:30
15:05:35,98,2021-10-08 15:05:35
15:05:40,98,2021-10-08 15:05:40
15:05:45,99,2021-10-08 15:05:45
15:05:50,98,2021-10-08 15:05:50
15:05:55,97,2021-10-08 15:05:55
15:06:00,98,2021-10-08 15:06:00
15:06:10,100,2021-10-08 15:06:10
15:06:20,101,2021-10-08 15:06:20
15:06:30,100,2021-10-08 15:06:30
15:06:35,97,2021-10-08 15:06:35
15:06:40,93,2021-10-08 15:06:40
15:06:45,89,2021-10-08 15:06:45
15:06:50,91,2021-10-08 15:06:50
15:07:00,94,2021-10-08 15:07:00
15:07:05,96,2021-10-08 15:07:05
15:07:10,98,2021-10-08 15:07:10
15:07:20,96,2021-10-08 15:07:20
15:07:25,94,2021-10-08 15:07:25
15:07:35,95,2021-10-08 15:07:35
15:07:40,93,2021-10-08 15:07:40
15:07:45,94,2021-10-08 15:07:45
15:07:50,95,2021-10-08 15:07:50
15:08:05,95,2021-10-08 15:08:05
15:08:10,97,2021-10-08 15:08:10
15:08:25,99,2021-10-08 15:08:25
15:08:30,97,2021-10-08 15:08:30
15:08:35,99,2021-10-08 15:08:35
15:08:40,94,2021-10-08 15:08:40
15:08:45,95,2021-10-08 15:08:45
15:08:50,94,2021-10-08 15:08:50
15:08:55,96,2021-10-08 15:08:55
15:09:00,98,2021-10-08 15:09:00
15:09:05,100,2021-10-08 15:09:05
15:09:10,101,2021-10-08 15:09:10
15:09:15,103,2021-10-08 15:09:15
15:09:30,103,2021-10-08 15:09:30
15:09:35,105,2021-10-08 15:09:35
15:09:40,103,2021-10-08 15:09:40
15:09:50,104,2021-10-08 15:09:50
15:09:55,106,2021-10-08 15:09:55
15:10:00,109,2021-10-08 15:10:00
15:10:05,112,2021-10-08 15:10:05
15:10:10,110,2021-10-08 15:10:10
15:10:15,108,2021-10-08 15:10:15
15:10:20,105,2021-10-08 15:10:20
15:10:30,103,2021-10-08 15:10:30
15:10:35,102,2021-10-08 15:10:35
